Protein	FilterMatch	RegEx
H9NLX3_9ARCH	nitrite reductase	nitrite reductase
H9NLX4_9ARCH	nitrite reductase	nitrite reductase
H9NLX8_9ARCH	nitrite reductase	nitrite reductase
H9NLX9_9ARCH	nitrite reductase	nitrite reductase
H9NLY0_9ARCH	nitrite reductase	nitrite reductase
H9NLY1_9ARCH	nitrite reductase	nitrite reductase
H9NLY4_9ARCH	nitrite reductase	nitrite reductase
H9NLY6_9ARCH	nitrite reductase	nitrite reductase
H9NLY7_9ARCH	nitrite reductase	nitrite reductase
H9NLY8_9ARCH	nitrite reductase	nitrite reductase
H9NLZ0_9ARCH	nitrite reductase	nitrite reductase
H9NLZ1_9ARCH	nitrite reductase	nitrite reductase
H9NLZ2_9ARCH	nitrite reductase	nitrite reductase
H9NLZ4_9ARCH	nitrite reductase	nitrite reductase
H9NLZ5_9ARCH	nitrite reductase	nitrite reductase
H9NLZ7_9ARCH	nitrite reductase	nitrite reductase
H9NM00_9ARCH	nitrite reductase	nitrite reductase
H9NM02_9ARCH	nitrite reductase	nitrite reductase
H9NM05_9ARCH	nitrite reductase	nitrite reductase
H9NM07_9ARCH	nitrite reductase	nitrite reductase
H9NM08_9ARCH	nitrite reductase	nitrite reductase
H9NM09_9ARCH	nitrite reductase	nitrite reductase
H9NM10_9ARCH	nitrite reductase	nitrite reductase
H9NM11_9ARCH	nitrite reductase	nitrite reductase
H9NM12_9ARCH	nitrite reductase	nitrite reductase
H9NM13_9ARCH	nitrite reductase	nitrite reductase
H9NM14_9ARCH	nitrite reductase	nitrite reductase
H9NM15_9ARCH	nitrite reductase	nitrite reductase
H9NM16_9ARCH	nitrite reductase	nitrite reductase
H9NM17_9ARCH	nitrite reductase	nitrite reductase
H9NM18_9ARCH	nitrite reductase	nitrite reductase
H9NM19_9ARCH	nitrite reductase	nitrite reductase
H9NM20_9ARCH	nitrite reductase	nitrite reductase
H9NM22_9ARCH	nitrite reductase	nitrite reductase
H9NM24_9ARCH	nitrite reductase	nitrite reductase
H9NM27_9ARCH	nitrite reductase	nitrite reductase
H9NM30_9ARCH	nitrite reductase	nitrite reductase
H9NM31_9ARCH	nitrite reductase	nitrite reductase
H9NM32_9ARCH	nitrite reductase	nitrite reductase
H9NM33_9ARCH	nitrite reductase	nitrite reductase
H9NM34_9ARCH	nitrite reductase	nitrite reductase
H9NM35_9ARCH	nitrite reductase	nitrite reductase
H9NM36_9ARCH	nitrite reductase	nitrite reductase
H9NM37_9ARCH	nitrite reductase	nitrite reductase
H9NM38_9ARCH	nitrite reductase	nitrite reductase
H9NM39_9ARCH	nitrite reductase	nitrite reductase
H9NM41_9ARCH	nitrite reductase	nitrite reductase
H9NM42_9ARCH	nitrite reductase	nitrite reductase
H9NM43_9ARCH	nitrite reductase	nitrite reductase
H9NM44_9ARCH	nitrite reductase	nitrite reductase
H9NM45_9ARCH	nitrite reductase	nitrite reductase
H9NM46_9ARCH	nitrite reductase	nitrite reductase
H9NM47_9ARCH	nitrite reductase	nitrite reductase
H9NM48_9ARCH	nitrite reductase	nitrite reductase
H9NM50_9ARCH	nitrite reductase	nitrite reductase
